Maharastra_SUB-DISTRICT,KARNATAKA_SUB-DISTRICT,ODISHA_SUB-DISTRICT,ANDHRA PRADESH_SUB-DISTRICT,WEST BENGAL_SUB-DISTRICT,MADHYA PRADESH_SUB-DISTRICT,TAMIL NADU_SUB-DISTRICT,UTTAR PRADESH_SUB-DISTRICT,RAJASTHAN_SUB-DISTRICT,PUNJAB_SUB-DISTRICT,KERALA_SUB-DISTRICT,BIHAR_SUB-DISTRICT,HARYANA_SUB-DISTRICT,HIMACHAL PRADESH_SUB-DISTRICT,ARUNACHAL PRADESH_SUB-DISTRICT,ASSAM_SUB-DISTRICT,GUJARAT_SUB-DISTRICT,DELHI_SUB-DISTRICT,CHHATTISGARH_SUB-DISTRICT,GOA_SUB-DISTRICT,TRIPURA_SUB-DISTRICT,JHARKHAND_SUB-DISTRICT,UTTARAKHAND_SUB-DISTRICT
,,,Allur,,,,,,,,,,,,,,,,,,,
,,,Vidavalur,,,,,,,,,,,,,,,,,,,
,,,Kodavalur,,,,,,,,,,,,,,,,,,,
,,,Buchireddipalem,,,,,,,,,,,,,,,,,,,
,,,Chejerla,,,,,,,,,,,,,,,,,,,
,,,Ananthasagaram,,,,,,,,,,,,,,,,,,,
,,,Kaluvoya,,,,,,,,,,,,,,,,,,,
,,,Rapur,,,,,,,,,,,,,,,,,,,
,,,Podalakur,,,,,,,,,,,,,,,,,,,
,,,Nellore,,,,,,,,,,,,,,,,,,,
,,,Kovur,,,,,,,,,,,,,,,,,,,
,,,Indukurpet,,,,,,,,,,,,,,,,,,,
,,,Thotapalligudur,,,,,,,,,,,,,,,,,,,
,,,Muthukur,,,,,,,,,,,,,,,,,,,
,,,Venkatachalam,,,,,,,,,,,,,,,,,,,
,,,Manubolu,,,,,,,,,,,,,,,,,,,
,,,Sydapuram,,,,,,,,,,,,,,,,,,,
,,,Dakkili,,,,,,,,,,,,,,,,,,,
,,,Venkatagiri,,,,,,,,,,,,,,,,,,,
,,,Balayapalle,,,,,,,,,,,,,,,,,,,
,,,Ojili,,,,,,,,,,,,,,,,,,,
,,,Chillakur,,,,,,,,,,,,,,,,,,,
,,,Kota,,,,,,,,,,,,,,,,,,,
,,,Vakadu,,,,,,,,,,,,,,,,,,,
,,,Chittamur,,,,,,,,,,,,,,,,,,,
,,,Naidupet,,,,,,,,,,,,,,,,,,,
,,,Pellakur,,,,,,,,,,,,,,,,,,,
,,,Doravarisatram,,,,,,,,,,,,,,,,,,,
,,,Sullurpeta,,,,,,,,,,,,,,,,,,,
,,,Tada,,,,,,,,,,,,,,,,,,,
,,,Peddamudium,,,,,,,,,,,,,,,,,,,
,,,Duvvur,,,,,,,,,,,,,,,,,,,
,,,S.Mydukur,,,,,,,,,,,,,,,,,,,
,,,Brahmamgarimattam,,,,,,,,,,,,,,,,,,,
,,,Sri Avadhutha Kasinayana,,,,,,,,,,,,,,,,,,,
,,,Kalasapadu,,,,,,,,,,,,,,,,,,,
,,,Porumamilla,,,,,,,,,,,,,,,,,,,
,,,B.Kodur,,,,,,,,,,,,,,,,,,,
,,,Badvel,,,,,,,,,,,,,,,,,,,
,,,Gopavaram,,,,,,,,,,,,,,,,,,,
,,,Khajipet,,,,,,,,,,,,,,,,,,,
,,,Chapad,,,,,,,,,,,,,,,,,,,
,,,Proddatur,,,,,,,,,,,,,,,,,,,
,,,Jammalamadugu,,,,,,,,,,,,,,,,,,,
,,,Muddanur,,,,,,,,,,,,,,,,,,,
,,,Simhadripuram,,,,,,,,,,,,,,,,,,,
,,,Lingala,,,,,,,,,,,,,,,,,,,
,,,Pulivendla,,,,,,,,,,,,,,,,,,,
,,,Vemula,,,,,,,,,,,,,,,,,,,
,,,Thondur,,,,,,,,,,,,,,,,,,,
,,,Veerapunayunipalle,,,,,,,,,,,,,,,,,,,
,,,Yerraguntla,,,,,,,,,,,,,,,,,,,
,,,Kamalapuram,,,,,,,,,,,,,,,,,,,
,,,Vallur,,,,,,,,,,,,,,,,,,,
,,,Atlur,,,,,,,,,,,,,,,,,,,
,,,Vontimitta,,,,,,,,,,,,,,,,,,,
,,,Sidhout,,,,,,,,,,,,,,,,,,,
,,,Kadapa,,,,,,,,,,,,,,,,,,,
,,,Chinthakommadinne,,,,,,,,,,,,,,,,,,,
,,,Pendlimarri,,,,,,,,,,,,,,,,,,,
,,,Vempalle,,,,,,,,,,,,,,,,,,,
,,,Chakrayapet,,,,,,,,,,,,,,,,,,,
,,,Galiveedu,,,,,,,,,,,,,,,,,,,
,,,Chinnamandem,,,,,,,,,,,,,,,,,,,
,,,Sambepalle,,,,,,,,,,,,,,,,,,,
,,,T Sundupalle,,,,,,,,,,,,,,,,,,,
,,,Rayachoti,,,,,,,,,,,,,,,,,,,
,,,Lakkireddipalle,,,,,,,,,,,,,,,,,,,
,,,Ramapuram,,,,,,,,,,,,,,,,,,,
,,,Veeraballe,,,,,,,,,,,,,,,,,,,
,,,Nandalur,,,,,,,,,,,,,,,,,,,
,,,Penagalur,,,,,,,,,,,,,,,,,,,
,,,Chitvel,,,,,,,,,,,,,,,,,,,
,,,Rajampet,,,,,,,,,,,,,,,,,,,
,,,Pullampeta,,,,,,,,,,,,,,,,,,,
,,,Obulavaripalle,,,,,,,,,,,,,,,,,,,
,,,Kodur,,,,,,,,,,,,,,,,,,,
,,,Kurnool,,,,,,,,,,,,,,,,,,,
,,,Mantralayam,,,,,,,,,,,,,,,,,,,
,,,Kosigi,,,,,,,,,,,,,,,,,,,
,,,Kowthalam,,,,,,,,,,,,,,,,,,,
,,,Pedda Kadubur,,,,,,,,,,,,,,,,,,,
,,,Yemmiganur,,,,,,,,,,,,,,,,,,,
,,,Nandavaram,,,,,,,,,,,,,,,,,,,
,,,C.Belagal,,,,,,,,,,,,,,,,,,,
,,,Nandikotkur,,,,,,,,,,,,,,,,,,,
,,,Pagidyala,,,,,,,,,,,,,,,,,,,
,,,Jupadu Bungalow,,,,,,,,,,,,,,,,,,,
,,,Srisailam,,,,,,,,,,,,,,,,,,,
,,,Pamulapadu,,,,,,,,,,,,,,,,,,,
,,,Midthur,,,,,,,,,,,,,,,,,,,
,,,Orvakal,,,,,,,,,,,,,,,,,,,
,,,Kodumur,,,,,,,,,,,,,,,,,,,
,,,Gonegandla,,,,,,,,,,,,,,,,,,,
,,,Adoni,,,,,,,,,,,,,,,,,,,
,,,Holagunda,,,,,,,,,,,,,,,,,,,
,,,Halaharvi,,,,,,,,,,,,,,,,,,,
,,,Alur,,,,,,,,,,,,,,,,,,,
,,,Aspari,,,,,,,,,,,,,,,,,,,
,,,Devanakonda,,,,,,,,,,,,,,,,,,,
,,,Krishnagiri,,,,,,,,,,,,,,,,,,,
,,,Bethamcherla,,,,,,,,,,,,,,,,,,,
,,,Panyam,,,,,,,,,,,,,,,,,,,
,,,Gadivemula,,,,,,,,,,,,,,,,,,,
,,,Velgode,,,,,,,,,,,,,,,,,,,
,,,Bandi Atmakur,,,,,,,,,,,,,,,,,,,
,,,Nandyal,,,,,,,,,,,,,,,,,,,
,,,Mahanandi,,,,,,,,,,,,,,,,,,,
,,,Sirvel,,,,,,,,,,,,,,,,,,,
,,,Gospadu,,,,,,,,,,,,,,,,,,,
,,,Banaganapalle,,,,,,,,,,,,,,,,,,,
,,,Dhone,,,,,,,,,,,,,,,,,,,
,,,Pattikonda,,,,,,,,,,,,,,,,,,,
,,,Chippagiri,,,,,,,,,,,,,,,,,,,
,,,Maddikera,,,,,,,,,,,,,,,,,,,
,,,Tuggali,,,,,,,,,,,,,,,,,,,
,,,Peapally,,,,,,,,,,,,,,,,,,,
,,,Owk,,,,,,,,,,,,,,,,,,,
,,,Koilkuntla,,,,,,,,,,,,,,,,,,,
,,,Rudravaram,,,,,,,,,,,,,,,,,,,
,,,Allagadda,,,,,,,,,,,,,,,,,,,
,,,Dornipadu,,,,,,,,,,,,,,,,,,,
,,,Sanjamala,,,,,,,,,,,,,,,,,,,
,,,Kolimigundla,,,,,,,,,,,,,,,,,,,
,,,Uyyalawada,,,,,,,,,,,,,,,,,,,
,,,Chagalamarri,,,,,,,,,,,,,,,,,,,
,,,Anantapur,,,,,,,,,,,,,,,,,,,
,,,D.Hirehal,,,,,,,,,,,,,,,,,,,
,,,Rayadurg,,,,,,,,,,,,,,,,,,,
,,,Kanekal,,,,,,,,,,,,,,,,,,,
,,,Bommanahal,,,,,,,,,,,,,,,,,,,
,,,Vidapanakal,,,,,,,,,,,,,,,,,,,
,,,Guntakal,,,,,,,,,,,,,,,,,,,
,,,Gooty,,,,,,,,,,,,,,,,,,,
,,,Peddavadugur,,,,,,,,,,,,,,,,,,,
,,,Yadiki,,,,,,,,,,,,,,,,,,,
,,,Tadpatri,,,,,,,,,,,,,,,,,,,
,,,Peddapappur,,,,,,,,,,,,,,,,,,,
,,,Pamidi,,,,,,,,,,,,,,,,,,,
,,,Vajrakarur,,,,,,,,,,,,,,,,,,,
,,,Uravakonda,,,,,,,,,,,,,,,,,,,
,,,Beluguppa,,,,,,,,,,,,,,,,,,,
,,,Gummagatta,,,,,,,,,,,,,,,,,,,
,,,Brahmasamudram,,,,,,,,,,,,,,,,,,,
,,,Kalyandurg,,,,,,,,,,,,,,,,,,,
,,,Kudair,,,,,,,,,,,,,,,,,,,
,,,Garladinne,,,,,,,,,,,,,,,,,,,
,,,Singanamala,,,,,,,,,,,,,,,,,,,
,,,Putlur,,,,,,,,,,,,,,,,,,,
,,,Yellanur,,,,,,,,,,,,,,,,,,,
,,,Narpala,,,,,,,,,,,,,,,,,,,
,,,Bukkaraya Samudram,,,,,,,,,,,,,,,,,,,
,,,Raptadu,,,,,,,,,,,,,,,,,,,
,,,Settur,,,,,,,,,,,,,,,,,,,
,,,Kundurpi,,,,,,,,,,,,,,,,,,,
,,,Kambadur,,,,,,,,,,,,,,,,,,,
,,,Kanaganapalle,,,,,,,,,,,,,,,,,,,
,,,Dharmavaram,,,,,,,,,,,,,,,,,,,
,,,Bathalapalle,,,,,,,,,,,,,,,,,,,
,,,Tadimarri,,,,,,,,,,,,,,,,,,,
,,,Mudigubba,,,,,,,,,,,,,,,,,,,
,,,Talupula,,,,,,,,,,,,,,,,,,,
,,,Nambulipulikunta,,,,,,,,,,,,,,,,,,,
,,,Gandlapenta,,,,,,,,,,,,,,,,,,,
,,,Kadiri,,,,,,,,,,,,,,,,,,,
,,,Nallamada,,,,,,,,,,,,,,,,,,,
,,,Bukkapatnam,,,,,,,,,,,,,,,,,,,
,,,Kothacheruvu,,,,,,,,,,,,,,,,,,,
,,,Chennekothapalle,,,,,,,,,,,,,,,,,,,
,,,Ramagiri,,,,,,,,,,,,,,,,,,,
,,,Roddam,,,,,,,,,,,,,,,,,,,
,,,Madakasira,,,,,,,,,,,,,,,,,,,
,,,Amarapuram,,,,,,,,,,,,,,,,,,,
,,,Gudibanda,,,,,,,,,,,,,,,,,,,
,,,Rolla,,,,,,,,,,,,,,,,,,,
,,,Agali,,,,,,,,,,,,,,,,,,,
,,,Parigi,,,,,,,,,,,,,,,,,,,
,,,Penukonda,,,,,,,,,,,,,,,,,,,
,,,Puttaparthi,,,,,,,,,,,,,,,,,,,
,,,Obuladevaracheruvu,,,,,,,,,,,,,,,,,,,
,,,Nallacheruvu,,,,,,,,,,,,,,,,,,,
,,,Tanakal,,,,,,,,,,,,,,,,,,,
,,,Amadagur,,,,,,,,,,,,,,,,,,,
,,,Gorantla,,,,,,,,,,,,,,,,,,,
,,,Somandepalle,,,,,,,,,,,,,,,,,,,
,,,Hindupur,,,,,,,,,,,,,,,,,,,
,,,Lepakshi,,,,,,,,,,,,,,,,,,,
,,,Chilamathur,,,,,,,,,,,,,,,,,,,
,,,Chittoor,,,,,,,,,,,,,,,,,,,
,,,Mulakalacheruvu,,,,,,,,,,,,,,,,,,,
,,,Thamballapalle,,,,,,,,,,,,,,,,,,,
,,,Peddamandyam,,,,,,,,,,,,,,,,,,,
,,,Gurramkonda,,,,,,,,,,,,,,,,,,,
,,,Kalakada,,,,,,,,,,,,,,,,,,,
,,,Kambhamvaripalle,,,,,,,,,,,,,,,,,,,
,,,Yerravaripalem,,,,,,,,,,,,,,,,,,,
,,,Tirupati,,,,,,,,,,,,,,,,,,,
,,,Renigunta,,,,,,,,,,,,,,,,,,,
,,,Yerpedu,,,,,,,,,,,,,,,,,,,
,,,Srikalahasti,,,,,,,,,,,,,,,,,,,
,,,Thottambedu,,,,,,,,,,,,,,,,,,,
,,,Buchinaidu Kandriga,,,,,,,,,,,,,,,,,,,
,,,Varadaiahpalem,,,,,,,,,,,,,,,,,,,
,,,Chandragiri,,,,,,,,,,,,,,,,,,,
,,,Chinnagottigallu,,,,,,,,,,,,,,,,,,,
,,,Pileru,,,,,,,,,,,,,,,,,,,
,,,Kalikiri,,,,,,,,,,,,,,,,,,,
,,,Valmikipuram,,,,,,,,,,,,,,,,,,,
,,,Kurabalakota,,,,,,,,,,,,,,,,,,,
,,,Pedda Thippasamudram,,,,,,,,,,,,,,,,,,,
,,,B.Kothakota,,,,,,,,,,,,,,,,,,,
,,,Madanapalle,,,,,,,,,,,,,,,,,,,
,,,Nimmanapalle,,,,,,,,,,,,,,,,,,,
,,,Sodam,,,,,,,,,,,,,,,,,,,
,,,Pulicherla,,,,,,,,,,,,,,,,,,,
,,,Pakala,,,,,,,,,,,,,,,,,,,
,,,Vedurukuppam,,,,,,,,,,,,,,,,,,,
,,,Vadamalapeta,,,,,,,,,,,,,,,,,,,
,,,Narayanavanam,,,,,,,,,,,,,,,,,,,
,,,Pichatur,,,,,,,,,,,,,,,,,,,
,,,Satyavedu,,,,,,,,,,,,,,,,,,,
,,,Nagalapuram,,,,,,,,,,,,,,,,,,,
,,,Nindra,,,,,,,,,,,,,,,,,,,
,,,Vijayapuram,,,,,,,,,,,,,,,,,,,
,,,Nagari,,,,,,,,,,,,,,,,,,,
,,,Puttur,,,,,,,,,,,,,,,,,,,
,,,Karvetinagar,,,,,,,,,,,,,,,,,,,
,,,Penumuru,,,,,,,,,,,,,,,,,,,
,,,Puthalapattu,,,,,,,,,,,,,,,,,,,
,,,Irala,,,,,,,,,,,,,,,,,,,
,,,Somala,,,,,,,,,,,,,,,,,,,
,,,Chowdepalle,,,,,,,,,,,,,,,,,,,
,,,Ramasamudram,,,,,,,,,,,,,,,,,,,
,,,Punganur,,,,,,,,,,,,,,,,,,,
,,,Peddapanjani,,,,,,,,,,,,,,,,,,,
,,,Thavanampalle,,,,,,,,,,,,,,,,,,,
,,,Srirangarajapuram,,,,,,,,,,,,,,,,,,,
,,,Gangadhara Nellore,,,,,,,,,,,,,,,,,,,
,,,Palamaner,,,,,,,,,,,,,,,,,,,
,,,Baireddipalle,,,,,,,,,,,,,,,,,,,
,,,Venkatagirikota,,,,,,,,,,,,,,,,,,,
,,,Santhipuram,,,,,,,,,,,,,,,,,,,
,,,Gudupalle,,,,,,,,,,,,,,,,,,,
,,,Kuppam,,,,,,,,,,,,,,,,,,,
,,,Ramakuppam,,,,,,,,,,,,,,,,,,,
,,,Bangarupalem,,,,,,,,,,,,,,,,,,,
,,,Yadamarri,,,,,,,,,,,,,,,,,,,
,,,Gudipala,,,,,,,,,,,,,,,,,,,
,,,Palasamudram,,,,,,,,,,,,,,,,,,,
